Layer ID,Batch Number,Token,Activated Expert IDs
1,0,<｜begin▁of▁sentence｜>,"[8, 26, 56, 57, 60, 43]"
1,0,Spl,"[17, 18, 28, 44, 46, 8]"
1,0,ash,"[29, 33, 34, 38, 47, 23]"
1,0,",","[4, 8, 43, 51, 56, 26]"
1,0,ĠM,"[8, 26, 38, 45, 46, 6]"
1,0,ako,"[6, 7, 11, 15, 33, 58]"
1,0,-,"[35, 52, 55, 57, 60, 43]"
1,0,1,"[9, 13, 20, 37, 52, 0]"
1,0,-,"[27, 43, 52, 55, 60, 57]"
1,0,1,"[9, 13, 20, 37, 43, 0]"
1,0,",","[4, 8, 18, 43, 51, 41]"
1,0,ĠIvan,"[12, 30, 31, 43, 62, 46]"
1,0,-,"[11, 52, 55, 57, 60, 7]"
1,0,1,"[9, 13, 20, 37, 59, 7]"
1,0,-,"[27, 43, 52, 55, 60, 10]"
1,0,1,"[9, 13, 20, 37, 43, 59]"
1,0,Ċ,"[8, 18, 31, 54, 57, 4]"
1,0,Spl,"[17, 18, 44, 46, 54, 12]"
1,0,ash,"[23, 28, 29, 38, 47, 33]"
1,0,",","[4, 8, 43, 51, 56, 41]"
1,0,ĠIvan,"[30, 31, 43, 46, 62, 12]"
1,0,-,"[10, 52, 55, 57, 60, 41]"
1,0,1,"[9, 13, 20, 37, 59, 41]"
1,0,-,"[10, 27, 52, 55, 60, 43]"
1,0,2,"[10, 13, 20, 37, 42, 52]"
1,0,",","[4, 8, 18, 43, 51, 41]"
1,0,ĠM,"[8, 26, 38, 45, 46, 59]"
1,0,ako,"[7, 11, 15, 42, 58, 12]"
1,0,-,"[35, 52, 55, 57, 60, 43]"
1,0,1,"[9, 13, 20, 37, 59, 43]"
1,0,-,"[10, 27, 52, 55, 60, 43]"
1,0,2,"[10, 13, 20, 37, 42, 7]"
2,0,<｜begin▁of▁sentence｜>,"[3, 35, 38, 62, 63, 60]"
2,0,Spl,"[10, 14, 35, 42, 63, 57]"
2,0,ash,"[23, 29, 32, 42, 50, 49]"
2,0,",","[0, 8, 15, 46, 47, 11]"
2,0,ĠM,"[35, 44, 59, 60, 63, 6]"
2,0,ako,"[10, 14, 29, 38, 42, 57]"
2,0,-,"[0, 8, 10, 19, 48, 11]"
2,0,1,"[15, 22, 33, 58, 59, 1]"
2,0,-,"[0, 1, 15, 19, 38, 34]"
2,0,1,"[1, 21, 22, 58, 59, 44]"
2,0,",","[1, 8, 38, 46, 47, 15]"
2,0,ĠIvan,"[35, 44, 59, 60, 63, 42]"
2,0,-,"[0, 8, 11, 19, 62, 46]"
2,0,1,"[1, 13, 22, 58, 59, 33]"
2,0,-,"[0, 1, 19, 34, 38, 60]"
2,0,1,"[1, 21, 22, 52, 58, 12]"
2,0,Ċ,"[1, 15, 38, 47, 62, 63]"
2,0,Spl,"[14, 35, 42, 57, 63, 60]"
2,0,ash,"[23, 29, 32, 42, 50, 49]"
2,0,",","[8, 11, 15, 46, 47, 48]"
2,0,ĠIvan,"[6, 35, 42, 44, 59, 60]"
2,0,-,"[0, 8, 19, 24, 62, 46]"
2,0,1,"[13, 22, 33, 58, 59, 1]"
2,0,-,"[0, 1, 19, 34, 38, 60]"
2,0,2,"[1, 12, 21, 44, 58, 33]"
2,0,",","[1, 8, 38, 46, 47, 29]"
2,0,ĠM,"[35, 42, 44, 59, 63, 60]"
2,0,ako,"[10, 14, 29, 38, 42, 57]"
2,0,-,"[0, 18, 19, 34, 48, 8]"
2,0,1,"[12, 22, 33, 58, 59, 6]"
2,0,-,"[0, 1, 19, 34, 38, 15]"
2,0,2,"[1, 12, 21, 44, 58, 13]"
3,0,<｜begin▁of▁sentence｜>,"[4, 9, 11, 25, 54, 12]"
3,0,Spl,"[0, 3, 14, 40, 48, 60]"
3,0,ash,"[24, 40, 43, 50, 61, 29]"
3,0,",","[1, 9, 51, 58, 60, 13]"
3,0,ĠM,"[3, 6, 12, 14, 62, 17]"
3,0,ako,"[3, 10, 17, 29, 38, 31]"
3,0,-,"[1, 5, 9, 17, 18, 31]"
3,0,1,"[17, 27, 38, 49, 62, 31]"
3,0,-,"[1, 9, 18, 27, 42, 60]"
3,0,1,"[17, 27, 42, 49, 62, 3]"
3,0,",","[1, 9, 13, 51, 60, 55]"
3,0,ĠIvan,"[3, 4, 14, 38, 49, 50]"
3,0,-,"[1, 4, 5, 9, 18, 45]"
3,0,1,"[4, 17, 27, 49, 62, 38]"
