Layer ID,Batch Number,Token,Activated Expert IDs
1,0,<｜begin▁of▁sentence｜>,"[8, 26, 56, 57, 60, 43]"
1,0,Add,"[8, 18, 32, 46, 56, 54]"
1,0,Ġsome,"[0, 5, 6, 8, 21, 34]"
1,0,Ġspacing,"[17, 18, 19, 39, 54, 8]"
1,0,Ġbetween,"[8, 9, 24, 37, 43, 48]"
1,0,Ġthe,"[8, 12, 15, 21, 41, 26]"
1,0,Ġtext,"[2, 3, 7, 39, 47, 8]"
1,0,Ġand,"[8, 24, 26, 51, 56, 43]"
1,0,Ġthe,"[8, 11, 21, 26, 52, 38]"
1,0,Ġbutton,"[2, 3, 7, 39, 47, 32]"
2,0,<｜begin▁of▁sentence｜>,"[3, 35, 38, 62, 63, 60]"
2,0,Add,"[35, 39, 42, 61, 63, 60]"
2,0,Ġsome,"[3, 17, 52, 55, 58, 51]"
2,0,Ġspacing,"[26, 27, 45, 57, 63, 18]"
2,0,Ġbetween,"[9, 15, 25, 34, 55, 40]"
2,0,Ġthe,"[3, 13, 22, 52, 55, 37]"
2,0,Ġtext,"[27, 30, 37, 45, 57, 26]"
2,0,Ġand,"[0, 15, 34, 46, 48, 19]"
2,0,Ġthe,"[1, 16, 22, 44, 49, 52]"
2,0,Ġbutton,"[27, 37, 44, 45, 60, 30]"
3,0,<｜begin▁of▁sentence｜>,"[4, 9, 11, 25, 54, 12]"
3,0,Add,"[0, 6, 14, 48, 58, 61]"
3,0,Ġsome,"[6, 12, 33, 53, 58, 26]"
3,0,Ġspacing,"[20, 29, 39, 43, 61, 59]"
3,0,Ġbetween,"[26, 39, 47, 56, 59, 40]"
3,0,Ġthe,"[12, 26, 47, 54, 56, 11]"
3,0,Ġtext,"[20, 29, 37, 42, 43, 32]"
3,0,Ġand,"[1, 16, 47, 51, 55, 8]"
3,0,Ġthe,"[11, 16, 28, 51, 54, 47]"
3,0,Ġbutton,"[0, 20, 29, 42, 43, 14]"
4,0,<｜begin▁of▁sentence｜>,"[11, 21, 31, 33, 49, 14]"
4,0,Add,"[9, 29, 31, 34, 50, 25]"
4,0,Ġsome,"[9, 25, 27, 29, 47, 61]"
4,0,Ġspacing,"[7, 24, 25, 35, 48, 55]"
4,0,Ġbetween,"[7, 17, 20, 57, 58, 48]"
4,0,Ġthe,"[11, 17, 27, 42, 58, 20]"
4,0,Ġtext,"[19, 24, 35, 48, 55, 62]"
4,0,Ġand,"[16, 42, 48, 52, 57, 17]"
4,0,Ġthe,"[11, 16, 27, 32, 42, 4]"
4,0,Ġbutton,"[24, 32, 35, 48, 55, 28]"
5,0,<｜begin▁of▁sentence｜>,"[19, 20, 47, 49, 52, 54]"
5,0,Add,"[22, 35, 38, 41, 49, 18]"
5,0,Ġsome,"[3, 22, 36, 38, 49, 19]"
5,0,Ġspacing,"[4, 7, 11, 28, 49, 37]"
5,0,Ġbetween,"[4, 14, 32, 58, 60, 23]"
5,0,Ġthe,"[14, 32, 48, 58, 60, 20]"
5,0,Ġtext,"[6, 19, 30, 34, 49, 32]"
5,0,Ġand,"[14, 24, 26, 48, 58, 4]"
5,0,Ġthe,"[14, 24, 26, 32, 48, 57]"
5,0,Ġbutton,"[34, 44, 46, 49, 61, 30]"
6,0,<｜begin▁of▁sentence｜>,"[13, 21, 22, 42, 47, 32]"
6,0,Add,"[4, 37, 39, 46, 56, 19]"
6,0,Ġsome,"[7, 8, 19, 36, 44, 52]"
6,0,Ġspacing,"[2, 14, 25, 31, 38, 60]"
6,0,Ġbetween,"[0, 25, 44, 49, 60, 17]"
6,0,Ġthe,"[17, 25, 36, 45, 49, 28]"
6,0,Ġtext,"[2, 14, 29, 38, 57, 4]"
6,0,Ġand,"[10, 25, 34, 49, 55, 28]"
6,0,Ġthe,"[10, 34, 36, 45, 49, 25]"
6,0,Ġbutton,"[4, 14, 29, 38, 59, 17]"
7,0,<｜begin▁of▁sentence｜>,"[28, 43, 44, 58, 62, 18]"
7,0,Add,"[4, 15, 41, 50, 54, 33]"
7,0,Ġsome,"[9, 14, 15, 33, 48, 20]"
7,0,Ġspacing,"[2, 15, 47, 59, 61, 44]"
7,0,Ġbetween,"[0, 2, 15, 52, 61, 54]"
7,0,Ġthe,"[44, 52, 54, 58, 61, 15]"
7,0,Ġtext,"[10, 13, 44, 47, 49, 9]"
7,0,Ġand,"[32, 52, 54, 55, 61, 15]"
7,0,Ġthe,"[32, 52, 54, 55, 61, 58]"
