Layer ID,Batch Number,Token,Activated Expert IDs
1,0,<｜begin▁of▁sentence｜>,"[8, 26, 56, 57, 60, 43]"
1,0,bro,"[15, 30, 36, 44, 50, 34]"
1,0,Ġc,"[8, 26, 41, 44, 45, 34]"
1,0,',"[36, 47, 55, 60, 62, 8]"
1,0,mon,"[8, 30, 36, 47, 53, 14]"
1,0,ĠI,"[2, 8, 26, 46, 62, 6]"
1,0,Ġhave,"[8, 11, 23, 38, 63, 5]"
1,0,Ġa,"[6, 8, 21, 26, 38, 59]"
1,0,Ġticket,"[2, 7, 8, 40, 61, 36]"
1,0,!,"[4, 25, 43, 55, 57, 8]"
1,0,Ġwho,"[5, 8, 27, 43, 52, 26]"
1,0,Ġis,"[0, 5, 8, 27, 38, 26]"
1,0,Ġeven,"[8, 9, 23, 42, 53, 17]"
1,0,Ġplaying,"[18, 23, 41, 54, 58, 8]"
1,0,Ġat,"[1, 8, 41, 45, 49, 28]"
1,0,Ġthe,"[6, 8, 21, 22, 56, 12]"
1,0,Ġclub,"[3, 7, 40, 47, 61, 1]"
1,0,Ġtonight,"[7, 37, 40, 42, 48, 10]"
1,0,?,"[4, 25, 43, 57, 60, 55]"
2,0,<｜begin▁of▁sentence｜>,"[3, 35, 38, 62, 63, 60]"
2,0,bro,"[4, 11, 14, 35, 42, 28]"
2,0,Ġc,"[6, 10, 11, 13, 35, 58]"
2,0,',"[10, 19, 29, 38, 60, 1]"
2,0,mon,"[1, 21, 29, 33, 38, 60]"
2,0,ĠI,"[7, 20, 35, 58, 60, 15]"
2,0,Ġhave,"[5, 7, 14, 37, 38, 61]"
2,0,Ġa,"[17, 35, 51, 55, 62, 52]"
2,0,Ġticket,"[18, 30, 36, 43, 45, 26]"
2,0,!,"[0, 8, 19, 46, 47, 51]"
2,0,Ġwho,"[7, 16, 34, 42, 59, 61]"
2,0,Ġis,"[7, 16, 24, 49, 56, 23]"
2,0,Ġeven,"[5, 16, 18, 25, 56, 49]"
2,0,Ġplaying,"[9, 24, 32, 49, 56, 39]"
2,0,Ġat,"[3, 9, 31, 50, 53, 30]"
2,0,Ġthe,"[10, 14, 22, 23, 35, 52]"
2,0,Ġclub,"[20, 27, 37, 45, 60, 31]"
2,0,Ġtonight,"[5, 12, 15, 25, 54, 9]"
2,0,?,"[0, 8, 19, 46, 47, 28]"
3,0,<｜begin▁of▁sentence｜>,"[4, 9, 11, 25, 54, 12]"
3,0,bro,"[3, 14, 17, 31, 58, 10]"
3,0,Ġc,"[3, 6, 17, 27, 62, 60]"
3,0,',"[6, 9, 15, 18, 60, 45]"
3,0,mon,"[4, 6, 47, 53, 58, 10]"
3,0,ĠI,"[4, 7, 44, 58, 60, 19]"
3,0,Ġhave,"[2, 6, 30, 42, 60, 59]"
3,0,Ġa,"[6, 12, 33, 37, 52, 2]"
3,0,Ġticket,"[0, 20, 37, 43, 50, 2]"
3,0,!,"[5, 9, 22, 45, 55, 60]"
3,0,Ġwho,"[4, 16, 19, 58, 60, 54]"
3,0,Ġis,"[2, 4, 19, 25, 30, 6]"
3,0,Ġeven,"[2, 4, 30, 44, 53, 58]"
3,0,Ġplaying,"[2, 4, 50, 61, 63, 25]"
3,0,Ġat,"[25, 28, 47, 50, 59, 26]"
3,0,Ġthe,"[28, 46, 47, 49, 54, 41]"
3,0,Ġclub,"[20, 23, 24, 32, 50, 14]"
3,0,Ġtonight,"[2, 8, 27, 50, 53, 1]"
3,0,?,"[9, 22, 45, 55, 60, 5]"
4,0,<｜begin▁of▁sentence｜>,"[11, 21, 31, 33, 49, 14]"
4,0,bro,"[2, 14, 15, 37, 46, 36]"
4,0,Ġc,"[2, 10, 29, 36, 46, 1]"
4,0,',"[2, 26, 29, 42, 44, 9]"
4,0,mon,"[9, 19, 44, 46, 58, 1]"
4,0,ĠI,"[4, 29, 30, 52, 59, 9]"
4,0,Ġhave,"[8, 25, 29, 38, 53, 9]"
4,0,Ġa,"[8, 9, 21, 29, 47, 27]"
4,0,Ġticket,"[0, 28, 43, 55, 62, 7]"
4,0,!,"[22, 26, 29, 39, 52, 34]"
4,0,Ġwho,"[6, 9, 29, 30, 57, 15]"
4,0,Ġis,"[8, 9, 21, 29, 30, 27]"
4,0,Ġeven,"[8, 9, 21, 30, 44, 54]"
4,0,Ġplaying,"[9, 31, 43, 50, 61, 44]"
4,0,Ġat,"[17, 20, 23, 43, 58, 25]"
4,0,Ġthe,"[11, 17, 20, 42, 58, 29]"
4,0,Ġclub,"[0, 15, 28, 32, 62, 55]"
4,0,Ġtonight,"[0, 5, 17, 19, 58, 1]"
4,0,?,"[3, 18, 22, 39, 52, 13]"
5,0,<｜begin▁of▁sentence｜>,"[19, 20, 47, 49, 52, 54]"
5,0,bro,"[35, 38, 41, 44, 63, 18]"
5,0,Ġc,"[44, 47, 54, 55, 63, 41]"
5,0,',"[27, 31, 33, 55, 63, 47]"
5,0,mon,"[31, 33, 49, 55, 58, 27]"
5,0,ĠI,"[16, 17, 27, 31, 49, 42]"
5,0,Ġhave,"[31, 45, 49, 51, 55, 18]"
5,0,Ġa,"[31, 36, 45, 49, 51, 33]"
5,0,Ġticket,"[4, 28, 30, 31, 34, 61]"
5,0,!,"[12, 17, 27, 31, 53, 43]"
5,0,Ġwho,"[16, 18, 21, 31, 35, 42]"
5,0,Ġis,"[15, 31, 35, 45, 57, 9]"
5,0,Ġeven,"[31, 45, 51, 57, 62, 36]"
5,0,Ġplaying,"[22, 30, 33, 45, 57, 31]"
5,0,Ġat,"[33, 45, 57, 58, 60, 22]"
5,0,Ġthe,"[31, 48, 57, 58, 60, 32]"
5,0,Ġclub,"[13, 29, 30, 34, 61, 26]"
5,0,Ġtonight,"[5, 26, 30, 31, 58, 4]"
5,0,?,"[12, 27, 31, 42, 43, 53]"
6,0,<｜begin▁of▁sentence｜>,"[13, 21, 22, 42, 47, 32]"
6,0,bro,"[15, 19, 37, 41, 56, 46]"
6,0,Ġc,"[33, 37, 41, 42, 48, 56]"
6,0,',"[6, 36, 40, 41, 56, 5]"
6,0,mon,"[5, 6, 9, 19, 52, 49]"
6,0,ĠI,"[5, 6, 12, 40, 56, 37]"
6,0,Ġhave,"[19, 37, 52, 54, 56, 15]"
6,0,Ġa,"[8, 23, 52, 58, 61, 27]"
6,0,Ġticket,"[14, 29, 31, 38, 62, 61]"
6,0,!,"[12, 18, 54, 56, 61, 16]"
6,0,Ġwho,"[5, 19, 37, 40, 56, 15]"
6,0,Ġis,"[15, 21, 40, 52, 58, 43]"
6,0,Ġeven,"[5, 8, 9, 40, 52, 60]"
6,0,Ġplaying,"[7, 14, 29, 33, 61, 40]"
6,0,Ġat,"[14, 29, 44, 49, 61, 60]"
6,0,Ġthe,"[33, 36, 42, 49, 61, 55]"
6,0,Ġclub,"[14, 29, 38, 57, 63, 48]"
6,0,Ġtonight,"[14, 29, 33, 54, 61, 59]"
6,0,?,"[12, 16, 18, 54, 56, 61]"
7,0,<｜begin▁of▁sentence｜>,"[28, 43, 44, 58, 62, 18]"
7,0,bro,"[38, 41, 46, 50, 63, 33]"
7,0,Ġc,"[18, 38, 46, 47, 50, 23]"
7,0,',"[9, 20, 33, 36, 46, 58]"
7,0,mon,"[20, 25, 33, 45, 63, 38]"
7,0,ĠI,"[20, 25, 33, 38, 41, 26]"
7,0,Ġhave,"[14, 20, 30, 33, 38, 25]"
7,0,Ġa,"[10, 14, 20, 33, 63, 2]"
7,0,Ġticket,"[2, 10, 49, 59, 63, 53]"
7,0,!,"[17, 20, 33, 38, 42, 21]"
7,0,Ġwho,"[20, 25, 33, 36, 38, 14]"
7,0,Ġis,"[14, 20, 33, 36, 43, 23]"
7,0,Ġeven,"[20, 25, 30, 33, 40, 14]"
7,0,Ġplaying,"[0, 10, 47, 49, 52, 51]"
7,0,Ġat,"[0, 10, 14, 47, 52, 33]"
7,0,Ġthe,"[12, 14, 43, 52, 58, 62]"
7,0,Ġclub,"[23, 27, 34, 47, 53, 39]"
7,0,Ġtonight,"[10, 22, 47, 60, 63, 33]"
7,0,?,"[17, 21, 33, 38, 42, 19]"
8,0,<｜begin▁of▁sentence｜>,"[2, 11, 30, 39, 54, 47]"
8,0,bro,"[11, 13, 25, 33, 52, 40]"
8,0,Ġc,"[11, 13, 33, 40, 52, 30]"
8,0,',"[13, 17, 40, 52, 63, 30]"
8,0,mon,"[11, 40, 46, 62, 63, 13]"
8,0,ĠI,"[6, 33, 45, 46, 62, 17]"
8,0,Ġhave,"[0, 41, 46, 60, 62, 33]"
8,0,Ġa,"[0, 17, 46, 60, 62, 14]"
8,0,Ġticket,"[14, 24, 37, 43, 61, 9]"
8,0,!,"[3, 10, 17, 20, 46, 6]"
8,0,Ġwho,"[17, 40, 46, 59, 62, 21]"
8,0,Ġis,"[11, 17, 40, 59, 62, 33]"
8,0,Ġeven,"[17, 19, 41, 59, 62, 21]"
8,0,Ġplaying,"[15, 17, 22, 24, 38, 9]"
8,0,Ġat,"[15, 17, 22, 24, 34, 29]"
8,0,Ġthe,"[17, 24, 31, 34, 47, 15]"
8,0,Ġclub,"[15, 24, 30, 39, 47, 4]"
8,0,Ġtonight,"[15, 17, 24, 28, 43, 47]"
8,0,?,"[3, 10, 17, 20, 45, 46]"
9,0,<｜begin▁of▁sentence｜>,"[12, 13, 22, 27, 31, 44]"
9,0,bro,"[0, 13, 50, 62, 63, 25]"
9,0,Ġc,"[0, 10, 13, 23, 50, 25]"
9,0,',"[0, 10, 13, 25, 46, 62]"
9,0,mon,"[0, 25, 42, 45, 46, 15]"
9,0,ĠI,"[25, 39, 41, 45, 46, 15]"
9,0,Ġhave,"[18, 25, 39, 45, 46, 0]"
9,0,Ġa,"[18, 25, 28, 29, 46, 42]"
9,0,Ġticket,"[11, 25, 43, 51, 60, 6]"
9,0,!,"[15, 25, 35, 46, 58, 48]"
9,0,Ġwho,"[15, 25, 30, 39, 52, 46]"
9,0,Ġis,"[0, 17, 25, 30, 45, 18]"
9,0,Ġeven,"[18, 25, 29, 30, 39, 20]"
9,0,Ġplaying,"[17, 23, 32, 51, 60, 36]"
9,0,Ġat,"[17, 21, 25, 36, 54, 0]"
9,0,Ġthe,"[17, 22, 32, 47, 61, 26]"
9,0,Ġclub,"[4, 13, 17, 22, 23, 60]"
9,0,Ġtonight,"[17, 25, 31, 57, 60, 5]"
9,0,?,"[25, 35, 45, 46, 58, 48]"
10,0,<｜begin▁of▁sentence｜>,"[2, 9, 13, 42, 47, 31]"
10,0,bro,"[19, 25, 41, 47, 59, 28]"
10,0,Ġc,"[19, 25, 33, 41, 61, 28]"
10,0,',"[0, 19, 33, 41, 61, 4]"
10,0,mon,"[0, 1, 2, 19, 33, 40]"
10,0,ĠI,"[0, 33, 55, 60, 61, 59]"
10,0,Ġhave,"[0, 2, 6, 33, 62, 54]"
10,0,Ġa,"[0, 37, 38, 61, 62, 54]"
10,0,Ġticket,"[7, 19, 33, 35, 43, 58]"
10,0,!,"[0, 29, 53, 55, 60, 33]"
10,0,Ġwho,"[0, 1, 4, 23, 37, 33]"
10,0,Ġis,"[0, 1, 4, 33, 37, 23]"
10,0,Ġeven,"[0, 4, 23, 37, 62, 1]"
10,0,Ġplaying,"[4, 5, 19, 35, 43, 56]"
10,0,Ġat,"[4, 19, 23, 26, 33, 52]"
10,0,Ġthe,"[19, 26, 33, 38, 61, 4]"
10,0,Ġclub,"[18, 19, 33, 43, 49, 27]"
10,0,Ġtonight,"[4, 5, 19, 33, 43, 58]"
10,0,?,"[0, 29, 53, 55, 60, 30]"
11,0,<｜begin▁of▁sentence｜>,"[10, 11, 17, 18, 27, 54]"
11,0,bro,"[40, 43, 49, 59, 61, 34]"
11,0,Ġc,"[4, 34, 40, 49, 61, 43]"
11,0,',"[4, 40, 49, 59, 61, 55]"
11,0,mon,"[18, 43, 46, 54, 55, 59]"
11,0,ĠI,"[6, 10, 54, 55, 61, 43]"
11,0,Ġhave,"[6, 10, 37, 54, 55, 24]"
11,0,Ġa,"[6, 10, 20, 37, 55, 54]"
11,0,Ġticket,"[13, 24, 33, 38, 41, 3]"
11,0,!,"[0, 8, 9, 37, 54, 24]"
11,0,Ġwho,"[6, 24, 46, 55, 57, 54]"
